datetime,temp,pressure,humidity,wind_speed,dew_point,precipitation
2025-09-10 03:00:00,17.01,1021,32,7.17,3.410000000000002,0.0
2025-09-10 06:00:00,19.73,1019,26,7.02,4.93,0.0
2025-09-10 09:00:00,18.42,1019,29,5.15,4.220000000000002,0.0
2025-09-10 12:00:00,15.55,1022,34,4.63,2.3500000000000014,0.0
2025-09-10 15:00:00,13.8,1022,38,4.35,1.4000000000000004,0.0
2025-09-10 18:00:00,12.25,1021,43,3.71,0.8499999999999996,0.0
2025-09-10 21:00:00,10.51,1024,58,5.47,2.1099999999999994,0.0
2025-09-11 00:00:00,15.79,1025,41,7.63,3.9899999999999984,0.0
2025-09-11 03:00:00,19.54,1023,32,6.47,5.94,0.0
2025-09-11 06:00:00,20.72,1020,26,7.29,5.919999999999998,0.0
2025-09-11 09:00:00,17.33,1022,30,5.65,3.3299999999999983,0.0
2025-09-11 12:00:00,14.6,1025,37,4.8,2.0,0.0
2025-09-11 15:00:00,12.77,1025,41,4.04,0.9699999999999988,0.0
2025-09-11 18:00:00,11.38,1025,46,3.68,0.5800000000000001,0.0
2025-09-11 21:00:00,10.01,1026,49,3.86,-0.1899999999999995,0.0
2025-09-12 00:00:00,16.64,1027,37,6.85,4.040000000000001,0.0
2025-09-12 03:00:00,20.55,1025,27,7.13,5.950000000000001,0.0
2025-09-12 06:00:00,21.64,1022,24,6.63,6.440000000000001,0.0
2025-09-12 09:00:00,18.29,1023,30,5.01,4.289999999999999,0.0
2025-09-12 12:00:00,15.66,1026,36,4.36,2.8599999999999994,0.0
2025-09-12 15:00:00,13.72,1026,39,4.22,1.5200000000000014,0.0
2025-09-12 18:00:00,12.23,1025,44,4.18,1.0300000000000011,0.0
2025-09-12 21:00:00,10.9,1026,48,3.93,0.5,0.0
2025-09-13 00:00:00,17.82,1028,32,6.23,4.220000000000001,0.0
2025-09-13 03:00:00,21.4,1025,23,5.65,5.999999999999998,0.0
2025-09-13 06:00:00,22.99,1021,19,5.45,6.789999999999999,0.0
2025-09-13 09:00:00,19.2,1022,23,4.09,3.799999999999999,0.0
2025-09-13 12:00:00,16.56,1023,27,4.22,1.959999999999999,0.0
