datetime,temp,pressure,humidity,wind_speed,dew_point,precipitation
2025-09-10 03:00:00,18.99,1024,60,4.77,10.989999999999998,0.0
2025-09-10 06:00:00,17.67,1024,59,5.44,9.470000000000002,0.0
2025-09-10 09:00:00,15.52,1023,74,5.95,10.32,0.14
2025-09-10 12:00:00,15.86,1023,79,6.07,11.66,0.32
2025-09-10 15:00:00,15.93,1023,79,6.11,11.73,0.25
2025-09-10 18:00:00,15.75,1022,87,5.44,13.15,2.12
2025-09-10 21:00:00,16.58,1021,85,3.73,13.579999999999998,1.91
2025-09-11 00:00:00,17.24,1020,80,2.97,13.239999999999998,0.0
2025-09-11 03:00:00,17.74,1020,78,2.95,13.339999999999998,0.0
2025-09-11 06:00:00,17.91,1019,77,2.67,13.31,0.0
2025-09-11 09:00:00,18.19,1019,71,2.68,12.39,0.0
2025-09-11 12:00:00,18.35,1020,57,3.17,9.750000000000002,0.0
2025-09-11 15:00:00,23.0,1020,37,2.63,10.4,0.0
2025-09-11 18:00:00,26.82,1019,30,1.02,12.82,0.0
2025-09-11 21:00:00,27.39,1018,31,0.94,13.59,0.0
2025-09-12 00:00:00,24.93,1019,38,1.71,12.53,0.0
2025-09-12 03:00:00,22.96,1020,47,0.8,12.360000000000001,0.0
2025-09-12 06:00:00,21.48,1020,46,2.94,10.68,0.0
2025-09-12 09:00:00,19.57,1021,56,3.9,10.77,0.0
2025-09-12 12:00:00,19.36,1022,57,5.03,10.76,0.0
2025-09-12 15:00:00,22.92,1024,46,4.24,12.120000000000001,0.0
2025-09-12 18:00:00,25.0,1022,41,3.3,13.2,0.0
2025-09-12 21:00:00,23.75,1021,53,5.5,14.35,0.0
2025-09-13 00:00:00,20.99,1022,70,4.77,14.989999999999998,0.0
2025-09-13 03:00:00,20.39,1022,75,3.8,15.39,0.0
2025-09-13 06:00:00,19.88,1022,77,2.62,15.28,0.0
2025-09-13 09:00:00,19.46,1021,80,2.18,15.46,0.0
2025-09-13 12:00:00,19.83,1022,78,2.83,15.429999999999998,0.0
2025-09-13 15:00:00,22.36,1021,62,2.82,14.76,0.0
2025-09-13 18:00:00,24.3,1020,57,3.57,15.700000000000001,0.0
2025-09-13 21:00:00,21.89,1018,71,5.59,16.09,0.41
2025-09-14 00:00:00,21.21,1018,76,5.13,16.41,0.35
2025-09-14 03:00:00,20.66,1018,78,3.6,16.259999999999998,0.26
2025-09-14 06:00:00,19.68,1018,82,3.26,16.08,0.0
2025-09-14 09:00:00,19.39,1017,79,2.63,15.190000000000001,0.0
2025-09-14 12:00:00,19.83,1017,72,3.6,14.229999999999999,0.0
2025-09-14 15:00:00,24.65,1017,49,2.55,14.45,0.0
2025-09-14 18:00:00,27.82,1016,41,3.43,16.02,0.0
2025-09-14 21:00:00,26.58,1015,50,4.42,16.58,0.0
2025-09-15 00:00:00,25.39,1015,60,2.75,17.39,0.0
