datetime,temp,pressure,humidity,wind_speed,dew_point,precipitation
2025-09-10 03:00:00,9.12,1007,80,1.1,5.119999999999999,0.0
2025-09-10 06:00:00,12.43,1006,64,1.85,5.2299999999999995,0.0
2025-09-10 09:00:00,14.6,1006,54,1.67,5.4,0.0
2025-09-10 12:00:00,10.33,1006,73,0.98,4.93,0.0
2025-09-10 15:00:00,8.49,1007,84,1.31,5.29,0.0
2025-09-10 18:00:00,8.25,1007,90,1.61,6.25,0.0
2025-09-10 21:00:00,6.37,1008,95,1.56,5.37,0.0
2025-09-11 00:00:00,8.11,1009,88,1.65,5.709999999999999,0.0
2025-09-11 03:00:00,9.55,1010,86,2.26,6.750000000000001,0.0
2025-09-11 06:00:00,12.26,1011,69,2.89,6.06,0.38
2025-09-11 09:00:00,12.96,1011,59,2.94,4.760000000000002,0.0
2025-09-11 12:00:00,9.38,1012,79,1.26,5.180000000000001,0.0
2025-09-11 15:00:00,7.95,1013,90,1.77,5.95,0.0
2025-09-11 18:00:00,5.03,1014,95,1.73,4.03,0.0
2025-09-11 21:00:00,3.11,1014,97,1.83,2.51,0.0
2025-09-12 00:00:00,4.92,1014,86,1.31,2.12,0.0
2025-09-12 03:00:00,7.07,1014,76,0.96,2.2700000000000005,0.0
2025-09-12 06:00:00,9.69,1013,58,1.57,1.2899999999999991,0.0
2025-09-12 09:00:00,9.41,1013,63,1.73,2.01,0.0
2025-09-12 12:00:00,6.99,1013,77,1.96,2.3900000000000006,0.0
2025-09-12 15:00:00,3.06,1014,87,2.3,0.45999999999999996,0.0
2025-09-12 18:00:00,1.45,1013,85,2.13,-1.55,0.0
2025-09-12 21:00:00,3.82,1012,83,2.85,0.41999999999999993,0.0
2025-09-13 00:00:00,2.77,1012,90,2.83,0.77,0.0
2025-09-13 03:00:00,4.35,1012,89,3.53,2.1499999999999995,0.0
2025-09-13 06:00:00,3.81,1012,96,2.8,3.01,0.19
2025-09-13 09:00:00,3.87,1012,97,2.48,3.27,0.19
2025-09-13 12:00:00,3.48,1012,95,2.7,2.48,0.19
2025-09-13 15:00:00,3.42,1012,96,2.43,2.62,0.13
2025-09-13 18:00:00,2.87,1011,84,3.4,-0.33000000000000007,0.0
2025-09-13 21:00:00,2.28,1011,96,1.91,1.4799999999999998,0.0
2025-09-14 00:00:00,1.35,1011,94,2.65,0.15000000000000013,0.0
2025-09-14 03:00:00,3.04,1011,82,3.01,-0.56,0.0
2025-09-14 06:00:00,4.54,1011,68,3.2,-1.8600000000000003,0.0
2025-09-14 09:00:00,4.05,1012,80,2.88,0.04999999999999982,0.0
2025-09-14 12:00:00,2.06,1012,94,2.03,0.8600000000000001,0.25
2025-09-14 15:00:00,-0.04,1013,98,2.22,-0.44,0.0
2025-09-14 18:00:00,-1.63,1014,99,2.35,-1.8299999999999998,0.0
2025-09-14 21:00:00,-1.62,1015,99,2.4,-1.82,0.0
2025-09-15 00:00:00,0.76,1014,94,2.43,-0.43999999999999995,0.0
