datetime,temp,pressure,humidity,wind_speed,dew_point,precipitation
2025-09-10 03:00:00,30.81,1013,70,5.06,24.81,1.39
2025-09-10 06:00:00,31.13,1012,64,8.36,23.93,1.24
2025-09-10 09:00:00,29.11,1012,69,8.98,22.91,0.0
2025-09-10 12:00:00,28.74,1012,68,8.12,22.339999999999996,0.0
2025-09-10 15:00:00,27.98,1012,71,7.26,22.18,0.0
2025-09-10 18:00:00,27.69,1012,70,5.22,21.69,0.0
2025-09-10 21:00:00,26.88,1014,75,2.23,21.88,0.0
2025-09-11 00:00:00,28.21,1015,69,2.23,22.01,1.08
2025-09-11 03:00:00,29.74,1015,59,4.97,21.54,0.77
2025-09-11 06:00:00,27.94,1014,67,4.94,21.340000000000003,0.0
2025-09-11 09:00:00,26.67,1015,72,5.88,21.07,0.72
2025-09-11 12:00:00,24.79,1017,78,5.27,20.39,1.95
2025-09-11 15:00:00,23.88,1017,84,5.15,20.68,3.12
2025-09-11 18:00:00,23.87,1017,85,4.65,20.87,2.14
2025-09-11 21:00:00,23.77,1019,85,4.95,20.77,1.26
2025-09-12 00:00:00,24.48,1019,78,6.21,20.08,1.08
2025-09-12 03:00:00,26.17,1018,70,3.27,20.17,1.33
2025-09-12 06:00:00,26.48,1017,70,2.9,20.48,4.7
2025-09-12 09:00:00,25.55,1018,74,5.54,20.35,3.29
2025-09-12 12:00:00,24.76,1019,77,4.8,20.160000000000004,0.31
2025-09-12 15:00:00,24.51,1018,79,4.16,20.310000000000002,0.0
2025-09-12 18:00:00,24.28,1016,82,3.17,20.68,0.38
2025-09-12 21:00:00,24.29,1016,83,2.93,20.89,0.33
2025-09-13 00:00:00,26.13,1015,75,4.04,21.13,0.22
2025-09-13 03:00:00,29.17,1013,60,7.06,21.17,0.0
2025-09-13 06:00:00,29.92,1011,58,8.83,21.520000000000003,0.0
2025-09-13 09:00:00,29.03,1010,62,8.45,21.43,0.0
2025-09-13 12:00:00,28.16,1010,66,6.81,21.36,0.0
2025-09-13 15:00:00,27.9,1009,68,5.56,21.5,0.0
2025-09-13 18:00:00,27.38,1008,70,5.8,21.38,0.0
2025-09-13 21:00:00,27.24,1008,69,4.95,21.04,0.0
2025-09-14 00:00:00,29.91,1009,56,4.92,21.11,0.0
2025-09-14 03:00:00,33.17,1007,44,3.16,21.970000000000002,0.0
2025-09-14 06:00:00,34.97,1006,41,3.44,23.169999999999998,0.0
2025-09-14 09:00:00,32.71,1007,54,5.97,23.51,0.0
2025-09-14 12:00:00,31.08,1009,62,2.21,23.479999999999997,0.0
2025-09-14 15:00:00,29.61,1010,68,3.13,23.21,0.0
2025-09-14 18:00:00,27.84,1011,74,5.81,22.64,0.0
2025-09-14 21:00:00,27.04,1013,71,4.59,21.24,0.0
2025-09-15 00:00:00,29.07,1014,59,4.25,20.87,0.0
